ra,dec,mag,ci,proper,hip,spect,gl
0.6831,21.0205,7.05,1.05,,3225,K1III,
0.6853,39.4587,5.3,0.891,,3231,G8III,
0.6866,9.3551,6.52,0.528,,3236,F5,
0.6869,52.1977,6.74,0.072,,3240,A0,
0.6888,-46.085,4.59,0.953,,3245,G8III,
0.6929,-25.1966,6.55,1.244,,3266,K1/K2III,
0.6929,65.8682,6.95,0.579,,3267,F8,
0.6933,24.629,6.06,0.298,,3269,A7m,
0.6962,-56.5013,5.72,0.131,,3277,Ap,
0.6993,-43.1248,7.06,0.365,,3288,G8II/III,
0.7004,40.6883,7.03,0.452,,3293,F5,
0.701,66.1476,5.83,1.042,,3299,G9III-IV,
0.7011,50.5125,4.8,-0.105,,3300,B2.5V,
0.704,-11.8049,6.78,1.348,,3316,K3III,
0.7079,-65.468,5.38,0.515,,3330,F6V,
0.708,27.6429,7.2,0.343,,3331,F0,
0.7086,58.7534,6.18,-0.004,,3334,B9.5III,
0.7104,-36.0222,7.07,1.605,,3344,M1III,
0.7106,52.3372,6.94,0.059,,3346,B1III,
0.7111,71.3659,7.22,0.019,,3348,A0...,
0.7115,-65.6085,7.01,0.192,,3351,A6V,
0.7116,-60.2628,5.99,1.318,,3352,K5III,
0.7119,-38.4635,6.05,-0.024,,3356,B9.5V,
0.7136,45.9295,7.06,1.52,,3365,K5III,
0.7141,-9.9217,6.63,0.529,,3369,F8,
0.7147,16.6625,6.56,1.181,,3371,K0,
0.7172,-3.8563,7.22,0.435,,3385,F2,
0.7215,-45.1813,6.98,1.046,,3397,K0III,
0.7226,-57.4631,4.36,0.024,,3405,A0IV,
0.7245,47.0245,4.95,0.17,,3414,A5V,
0.7265,-17.9866,2.04,1.019,Diphda,3419,K0III,Gl 31
0.7306,-12.0118,6.01,1.107,,3436,K1III,
0.7312,33.3107,6.92,0.311,,3438,A5,
0.7332,49.0704,7.1,1.05,,3444,K0,
0.7342,70.8234,6.75,0.921,,3445,K0,
0.7365,-10.6096,4.77,0.998,,3455,K0IIIvar,
0.7367,-38.4217,5.9,1.144,,3456,K1III,
0.7373,-49.3859,6.86,0.139,,3459,A3V,
0.7406,47.864,5.66,-0.113,,3478,B5V...,
0.7421,-62.4976,6.06,0.446,,3489,F5III/IV,
0.7432,-78.0822,6.61,1.079,,3490,K0III,
0.7437,40.6794,7.18,1.613,,3494,M2e,
0.7442,-65.6495,6.55,0.655,,3497,G3V,Gl 31.5
0.7454,48.2844,4.48,-0.069,,3504,B5III,
0.7457,-22.0061,5.22,0.35,,3505,F0V,Gl 31.3
0.7466,67.1582,6.9,0.492,,3509,F8,
0.7485,-63.1966,6.94,1.504,,3517,K4II/IIICNV:,
0.7492,-42.6766,5.94,0.297,,3521,A7V,
0.7499,-12.1443,7.24,1.059,,3526,K0III,
0.75,-53.7149,6.15,0.524,,3527,F7III,
0.7507,62.5286,6.62,1.33,,3532,K0,
0.7511,75.9378,7.19,0.76,,3533,G5,GJ 3050
0.753,0.2533,7.01,0.537,,3540,F8,
0.7548,55.2214,5.41,0.022,,3544,A2Vs,
0.7567,-4.6292,6.15,1.652,,3552,M0III,
0.758,-12.8808,6.15,0.603,,3559,G2V,GJ 1020
0.7609,74.9881,5.64,0.078,,3572,A2IV,
0.7616,-16.4242,6.47,0.314,,3576,F0IV,
0.7627,-47.552,5.8,0.635,,3583,G5IV,GJ 1021
0.7628,56.7749,6.95,0.414,,3584,F2Iab:,
0.7697,44.8615,6.03,-0.063,,3604,B9.5IIIMNp.,
0.7699,-22.5221,5.49,0.978,,3607,G8/K0III,
0.7708,55.3054,6.51,0.181,,3611,A2III,
0.7734,30.9426,7.15,0.964,,3617,K1III,
0.7737,-57.9276,7.23,1.17,,3619,K1III,
0.7758,15.4755,5.36,1.559,,3632,M4III,
0.777,-30.1909,6.81,1.225,,3637,K2III,
0.7772,46.8938,6.86,1.2,,3638,K0,
0.7773,69.3254,6.39,0.424,,3641,F3V,
0.7785,59.5745,6.41,1.081,,3649,G0Ib,
0.7791,21.6243,6.95,0.561,,3650,F8IV,
0.7837,11.9738,5.51,0.987,,3675,G8II,
0.7871,19.5787,6.11,0.27,,3685,F0Vn,
0.789,24.2672,4.08,1.1,Shimu,3693,K1II,
0.7899,6.741,5.98,0.941,,3697,G8III,
0.7936,-2.3219,7.17,1.537,,3708,M1III,
0.7948,-31.353,7.09,1.394,,3715,K2III,
0.7953,-18.0613,5.7,1.3,,3717,K3III,
0.7958,26.2917,6.93,1.085,,3719,K0III,
0.7961,74.8476,5.42,-0.066,,3721,B8III,
0.7986,20.9253,6.51,0.521,,3730,F8V,
0.7997,51.4448,6.86,0.1,,3736,A0,
0.8003,-21.7225,5.57,-0.058,,3741,B9V,
0.8025,72.6745,5.86,1.01,,3750,K0IV,
0.8032,65.1196,6.91,0.95,,3755,G5,
0.8048,7.2999,5.92,1.104,,3760,G8III,
0.8064,5.2806,5.74,0.89,96 G. Psc,3765,K2V,Gl 33
0.8098,-74.9234,5.09,1.345,,3781,K5III,
0.8114,7.5851,4.44,1.5,,3786,K5III,
0.8114,52.1008,6.82,0.844,,3787,F8,
0.8115,-28.4954,6.78,0.348,,3788,F0V,
0.8129,78.4673,7.11,0.972,,3796,K0,
0.8139,50.9682,4.9,-0.091,,3801,B9III,
0.8158,-46.6976,6.28,0.897,,3807,G8III,
0.8163,16.9406,5.07,0.502,,3810,F8V...,Gl 34.1
0.818,14.8092,6.95,1.519,,3823,K5,
0.8183,57.8152,3.46,0.587,Achird,3821,G0V SB,Gl 34A
0.8184,-21.1511,7.04,0.907,,3825,K0/1III +G,
0.8194,28.7193,7.18,0.932,,3830,G8III,
0.8205,57.075,7.12,1.722,,3833,M2III,
0.8205,-24.1367,5.9,0.944,,3834,K0III,
0.8212,41.0818,7.06,1.018,,3840,G5,
0.8238,-13.5613,5.59,1.325,,3849,K3III,
0.8241,-23.2125,7.15,0.769,,3850,G8/K0V,Gl 36
0.8253,46.511,7.18,1.019,,3854,K0,
0.826,-23.3621,6.27,0.132,,3858,A3IV,
0.827,47.7639,6.66,0.277,,3865,A2,
0.8302,41.0789,4.53,-0.136,,3881,B5V SB,
0.8314,27.7103,5.55,0.398,,3885,F5III+...,
0.8319,-0.2241,6.64,1.37,,3889,K0,
0.8323,-57.3862,7.19,1.558,,3894,M4III,
0.834,70.7742,6.9,-0.055,,3901,B9,
0.8344,-43.3949,6.49,0.286,,3903,A9/F0III,
0.8354,-10.6443,5.17,0.514,,3909,F7IV-V,Gl 37
0.8374,28.369,7.23,1.096,,3914,K1III,
0.8384,45.0023,6.13,0.043,,3919,A0p...,
0.844,25.5849,7.21,0.903,,3946,G8III,
0.8448,-50.9868,5.24,0.356,,3949,F2III,
0.8454,64.2475,5.35,0.528,,3951,A4V comp SB,
0.8479,-71.1514,6.86,0.447,,3961,F5V,
0.8489,77.9535,6.76,0.274,,3964,A5,
0.8493,51.508,6.38,0.307,,3965,F2IV,
0.853,-5.0393,6.98,0.663,,3979,G0,
0.8534,38.0422,7.15,1.345,,3981,K0,
0.8546,61.8055,6.04,1.88,,3988,K5Ib,
0.8551,3.385,6.39,1.069,,3992,K0III,
0.8555,-9.4055,6.89,0.49,,3995,F2,
0.8561,-38.5288,7.14,0.593,,3999,G1V,
0.8572,63.7812,6.87,0.494,,4006,B5Ia,
0.8591,-3.1431,7.25,0.122,,4021,A0,
0.8594,51.5714,6.22,0.032,,4023,B9.5V,
0.8597,12.7848,6.7,0.339,,4025,F0,
0.8603,22.6234,7.14,1.028,,4030,K0III,
0.8604,-8.8183,7.23,1.422,,4031,K0,
0.8645,-43.709,6.89,0.362,,4049,F2/F3V,
0.8659,33.89,6.87,1.375,,4058,K2,
0.8702,-22.6173,7.13,0.53,,4072,G0V,
0.8735,-69.5038,6.67,0.518,,4084,F7IV/V,
0.878,-24.0058,5.47,1.275,,4104,K1III,
0.8792,68.8658,7.2,0.1,,4116,A2,
0.881,40.2456,6.76,0.595,,4127,G0,
0.8815,38.5488,6.7,0.028,,4129,A2V,
0.8835,-1.1443,4.78,1.55,,4147,M0III,
0.8836,-30.3569,7.15,0.936,,4148,K2V,Gl 42
0.8845,61.124,4.8,0.54,,4151,F8V,Gl 41
0.8868,-24.7769,6.44,0.439,,4164,F3V,
0.8887,49.6556,7.11,-0.015,,4174,B8,
0.8887,4.0862,7.2,0.362,,4176,F0,
0.8895,69.9561,7.08,1.481,,4179,M...,
0.8912,37.4182,6.07,1.139,,4185,K3III:,
0.8936,29.4893,6.7,0.872,,4197,K0III,
0.8938,-62.8714,5.73,1.574,,4200,M4III,
0.8946,43.3634,7.19,0.622,,4205,G0,
0.8948,-4.5256,6.53,0.991,,4207,G5,
0.8965,52.6893,6.27,0.191,,4212,A5m,
0.8997,-48.7914,6.82,0.962,,4232,G8III,
0.9017,66.4355,7.05,0.402,,4239,F0,
0.9028,32.8884,7.22,1.542,,4246,K2,
0.9049,-8.7407,6.15,0.911,,4257,G5IV,
0.9083,56.3196,7.16,0.29,,4264,A5,
0.9098,19.1884,5.8,-0.016,,4267,A1Vn,
0.9147,83.7074,5.59,0.105,,4283,A4V,
0.9161,23.6283,5.46,1.012,,4288,K1IV,
0.9166,-74.3024,6.68,0.987,,4291,K0IV,
0.9167,58.9727,4.83,1.216,,4292,K2III,
0.9168,-69.5271,5.45,1.095,,4293,G7III,
0.9181,48.6785,6.28,1.681,,4298,M2.5IIIa,
0.92,-47.406,6.73,0.5,,4311,F6V,
0.9207,24.5571,6.19,1.546,,4317,M4III,
0.923,-24.6602,7.07,1.013,,4326,K0III,
0.9237,28.5594,7.2,0.201,,4329,A5,
0.9284,-7.3471,5.88,1.52,,4346,K5III,
0.9314,-53.1925,6.61,1.093,,4360,K1IIICN...,
0.9321,-27.7758,6.11,1.674,,4363,M1/M2III,
0.9329,27.2094,6.08,0.133,,4366,A5IV,
0.9337,-11.2665,5.35,1.505,,4371,K4III,
0.9359,13.952,6.46,0.962,,4382,G8II,
0.9369,57.9966,6.2,1.376,,4383,K3III,
0.9374,35.2286,6.93,0.114,,4390,A0,
0.9392,-63.9584,7.17,0.808,,4395,G8IV,
0.9419,42.9788,6.53,1.028,,4411,K0,
0.9444,59.1811,4.62,0.957,Castula,4422,G8III-IV,
0.9451,60.7167,2.15,-0.046,Cih,4427,B0IV:evar,
0.9459,38.4993,3.86,0.13,,4436,A5V,
0.9463,-2.7299,6.99,0.292,,4439,F0,
0.9464,60.3628,5.56,-0.054,,4440,B8V,
0.947,-25.3634,7.19,0.124,,4442,A2/A3V,
0.9486,68.7757,6.39,0.375,,4446,F0m,
0.9487,64.5323,6.98,0.918,,4449,F4Iab:,
0.9534,23.4176,4.4,0.94,Kui,4463,G8III-IV,
0.954,54.9524,7.14,0.12,,4466,A0,
0.9554,61.4219,6.44,0.94,,4475,G8IV,
0.9556,52.2399,7.1,1.65,,4477,K2,
0.9583,21.4862,7.02,1.099,,4486,K2III,
0.9605,-18.9986,6.92,0.082,,4496,A2V,
0.961,45.8394,6.1,1.028,,4501,K2III,
0.961,1.7856,6.97,1.19,,4500,G5,
0.9639,28.9922,5.44,1.076,,4510,G6III,
0.9639,-1.766,6.56,1.004,,4511,G5,
0.9645,-66.5609,7.17,0.823,,4512,G3III,
0.9649,29.5214,7.21,1.246,,4517,K3III,
0.9651,13.6959,6.3,0.895,,4520,G8III,
0.9694,-15.6828,7.07,0.455,,4540,A:+...,
0.9694,39.4754,6.55,1.152,,4542,K0,
0.9702,70.4964,6.97,-0.054,,4550,B9,
0.9706,33.9509,5.99,1,,4552,K0,
0.9712,45.5971,7.23,0.209,,4555,A3,
0.9719,21.4045,6.47,0.089,,4558,A2V,
0.9721,6.8443,6.74,1.063,,4559,G5,
0.9728,-60.6962,6.23,0.096,,4563,Am,
0.9753,66.3518,5.97,-0.008,,4572,A0III,
0.9768,-29.3574,4.3,-0.154,,4577,B7IIIp,
0.9786,47.0366,6.84,-0.1,,4584,A0,
0.9788,-19.6327,7.12,1.6,,4586,M1III,
0.9789,-11.38,5.62,0.949,,4587,G7III,
0.9794,-5.8828,6.57,1.136,,4592,K0,
0.9842,27.6571,6.99,1.382,,4608,K3III,
0.9923,48.9663,6.9,0.41,,4637,F5,
0.9971,6.4832,6.14,1.654,,4655,M2III,
0.9999,48.02,7.13,-0.104,,4672,B8,
1.0008,60.51,7.09,0.969,,4674,G8II,
1.001,44.7132,5.69,-0.01,,4675,B9.5Vn,
1.0059,17.2263,7.25,1.019,,4696,K2III,
1.0078,21.2491,6.83,1.372,,4703,K2,
1.0082,80.5454,6.67,0.393,,4704,F2,
1.0082,18.6916,7.16,1.099,,4705,G5,
1.0086,70.983,6.4,0.135,,4709,A4IV,
1.0087,37.7915,7.21,0.13,,4710,A0,
1.0091,58.3641,7.12,0.197,,4713,A3,
1.0098,-36.2382,6.99,1.428,,4719,K4III,
1.0111,-20.0902,7.22,1.273,,4723,K1III,
1.0112,-1.6586,6.85,1.6,,4726,M4III,
1.0217,-38.9165,5.59,1.185,,4770,K1III,
1.0219,45.452,6.86,0.897,,4771,G8III-IV,
1.0219,-60.8601,6.91,0.65,,4772,G1/G2V,
1.0242,49.5442,6.48,1.099,,4786,G5,
1.025,69.3585,6.67,0.019,,4789,B9,
1.0262,-38.2148,6.61,0.905,,4794,K0IIICNIV,
1.0262,-6.7995,7.22,1.618,,4796,K2,
1.0274,-16.2656,6.47,1.184,,4801,K2/K3III,
1.0288,25.2922,6.71,0.783,,4809,G8IV,
1.0294,57.8167,6.77,0.28,,4811,A2,
1.0338,-57.0024,6.12,0.935,,4829,G8III,
1.0355,56.3287,6.71,1.109,,4834,K1III,
1.0384,81.8756,6.9,0.01,,4843,G8III,
1.0385,51.0349,6.48,0.122,,4844,A3V,
1.0407,-31.552,5.5,0.083,,4852,A1/A2IV,
1.0416,8.8216,7.08,0.287,,4858,F0,
1.0432,27.748,6.88,0.448,,4868,F7V,
1.0436,-77.551,7.24,1.39,,4869,K2IICNp...,
1.0452,9.133,6.83,0.498,,4878,F5,
1.0453,-65.4561,6.25,1.634,,4879,M2III,
1.047,31.8043,5.5,-0.043,,4889,B9.5V,
1.047,-46.3973,5.39,0.9,,4890,G8III,
1.0473,26.2994,7.21,0.406,,4893,F3V,
1.0473,62.6091,7.25,0.914,,4894,K0,
1.0483,51.7981,6.84,-0.019,,4902,B5,
1.0484,41.3452,5.95,0.161,,4903,A5m,
1.0491,7.8901,4.27,0.952,,4906,K0III,
1.0504,47.3762,6.46,0.248,,4911,A9V,
1.0507,-4.8366,5.4,1.106,,4914,K0III-IV,
1.0549,-29.5258,6.28,0.932,,4932,G8IIICN...,
1.055,-60.0975,6.81,0.48,,4934,F5V,
1.0552,-41.0211,6.99,1.59,,4935,M3III,
1.0603,61.0748,5.92,0.512,,4962,F0II,
1.0603,58.9092,6.75,1.688,,4961,K5,
1.061,84.6069,6.74,0.246,,4965,F5,
1.0631,6.7648,7.07,0.094,,4978,A0,
1.0636,1.3668,6.06,0.271,,4979,F1V,
1.0648,47.6423,6.82,-0.055,,4983,B2IV-V,
1.0654,-40.6483,7.03,0.147,,4985,A3III/IV,
1.0659,48.8613,7.19,0.442,,4989,F8,
1.0663,35.4695,7.2,0.232,,4990,A3,
1.0673,52.5022,5.99,1.447,,4998,K2,
1.0679,38.6885,7.14,1.655,,5002,M3III,
1.071,57.1167,7.04,1.017,,5013,G8II-III,
1.0713,54.2042,6.84,0.528,,5016,G0,
1.0721,61.5802,5.83,0.569,,5021,F6V,
1.0733,-47.9403,6.84,1.596,,5026,M1III,
1.0743,29.6588,6.2,0.443,,5034,F7IV-V,
1.0757,-33.5328,6.44,1.071,,5042,K0III,
1.0768,39.9911,6.77,0.328,,5045,F0Vn,
1.0779,33.183,7.07,1.607,,5055,K2,
1.0788,2.3137,7.21,1.195,,5060,K0,
1.0797,51.0098,6.53,-0.081,,5062,B3V,
1.0805,74.3721,6.82,0.044,,5070,A0,
1.0813,5.6563,6.03,1.525,,5074,K5III,
1.082,16.2422,7.2,1.673,,5075,M2III,
1.0848,14.9461,5.64,0.42,,5081,F4II-III,
1.0894,-40.27,7.18,0.421,,5099,F3V,
1.0936,-9.9793,6.09,1.012,,5121,K0III,
1.0947,21.4732,5.33,0.003,,5131,A1Vn,
1.0949,21.4654,5.55,-0.048,,5132,A0Vn,
1.097,4.9084,6.35,0.383,,5141,F4V...,
1.1011,57.7565,7.12,0.019,,5161,B3III,
1.1014,-46.7184,3.32,0.885,,5165,G8IIIvar,
1.1014,-9.8394,5.58,0.009,,5164,A1V,
1.1018,-10.9854,6.84,1,,5169,G5,
1.1021,-23.9925,6.12,1.076,,5170,K1III,
1.1031,32.1815,6.28,1.308,,5175,K0,
1.1063,62.7614,6.52,0.214,,5186,A5Vn,
1.1074,-35.6607,6.61,0.137,,5193,A1V,
1.1077,-39.8563,6.64,1.548,,5198,K4III,
1.1093,12.956,6.14,0.962,,5204,G8III,
1.1101,13.8846,7.22,0.448,,5207,F6V,
1.1105,8.36,6.93,0.301,,5209,F0,
1.1123,-15.5103,7.17,1.002,,5219,G8/K0III,
1.115,59.8586,6.87,0.002,,5232,A2V...,
1.1153,70.9314,6.63,0.164,,5233,A2,
1.1167,56.935,6.41,1.188,,5240,K2III...,
1.1178,11.5521,7.22,0.334,,5244,F2III,
1.1187,20.1511,6.99,0.96,,5248,G5,
1.1193,53.4982,6.31,1.499,,5251,K0,
1.1197,-1.7321,7.02,0.56,,5253,F5+...,
1.1203,-23.9963,6.36,0.238,,5259,A3III,
1.1205,49.5554,6.81,-0.031,,5262,A0,
1.1218,-61.7753,5.36,0.884,,5268,G5III,
1.1229,38.0289,7.14,-0.037,,5270,B9,
1.1246,41.2589,7.24,0.541,,5276,F5,
1.1256,-41.7467,7.01,0.567,,5280,F8V,
1.1295,-9.7856,5.71,0.446,,5296,F7IV,
1.13,-41.4869,5.21,0.159,,5300,A3V,
1.1325,20.7391,5.56,0.121,,5310,A3V,
1.1332,1.993,6.44,0.847,,5315,K0IV,
1.1336,43.9421,5.04,0.109,,5317,A3m,
1.1337,32.0121,6.23,0.398,,5319,F5IV,
1.1375,54.9203,5.17,0.704,,5336,G5Vp,Gl 53A
1.1376,28.8679,6.86,0.371,,5339,F0,
1.1394,9.9082,6.71,1.661,,5344,M...,
1.1395,5.6498,5.51,0.334,,5346,F0III-IV,
1.1396,54.2314,7.11,0.078,,5347,A0,
1.1397,-55.2458,3.94,-0.12,Wurren,5348,B6V + B0V,
1.1426,58.2634,5.77,-0.019,,5361,B8V,
1.1427,-46.668,6.89,0.292,,5363,A9V,
1.1432,-10.1823,3.46,1.161,,5364,K2III,GJ 3075
1.1456,86.2571,4.24,1.213,,5372,K2II-III,
1.1534,80.0116,6.24,0.922,,5412,K0,
1.1536,69.6865,6.93,0.24,,5414,B0.5III,
1.1562,-56.5952,7.14,0.464,,5428,F5IV,
1.1584,47.2418,4.26,0.012,,5434,B7III,
1.1597,57.35,6.65,0.439,,5440,F2,
1.1609,23.7942,6.65,0.342,,5444,F0,
1.1622,35.6206,2.07,1.576,Mirach,5447,M0IIIvar,Gl 53.3
1.1637,19.6584,5.57,0.697,,5454,G0III,
1.1644,49.0539,7.19,0.069,,5457,A0,
1.1645,54.739,6.75,1.14,,5458,G8III,
1.1658,33.8814,6.97,0.546,,5465,F5,
1.1687,-57.6944,6.41,0.888,,5477,G6II/III,
1.1698,15.6739,6.07,1.535,,5483,M0III,
1.17,-8.9061,6.4,1.029,,5485,K0III,
1.171,-56.863,6.98,0.309,,5488,F0IV,
1.1719,42.0815,5.67,0.603,,5493,F8V,
1.1721,25.4578,5.81,1.466,,5494,K5III,
1.176,2.4457,5.97,1.491,,5510,K4III,
1.1762,51.0133,6.9,0.43,,5512,F5,
1.1776,68.7786,5.32,-0.014,,5518,A0Vnn,
1.1807,67.7801,6.55,0.553,,5531,G0,
1.1817,9.5639,7.23,0.568,,5534,G0,
1.183,56.7744,7.24,-0.023,,5536,B9,
1.1838,-18.8049,7.15,1.496,,5539,K4III,
1.185,55.1499,4.34,0.17,,5542,A7Vvar,
1.1852,31.4247,5.15,0.261,,5544,F0V,
1.1862,37.7241,5.8,-0.095,,5550,B7III-IV,
1.1863,46.1839,6.6,1.6,,5551,K5,
1.1881,-13.5033,7.1,1.494,,5559,M3III,
1.1904,64.2027,5.56,-0.052,,5566,B9.5V,
1.1909,21.0346,4.66,1.024,,5571,K0III,
1.1914,10.2919,6.49,0.891,,5575,G5,
1.1943,30.0896,4.51,1.092,,5586,K0III-IV...,
1.1948,65.0189,5.57,-0.072,,5589,B9IV,
1.1954,-2.2511,5.93,1.403,,5594,K4III,
1.2029,-73.9071,7.17,0.587,,5623,F8/G0V,
1.2046,79.674,5.6,0.008,,5626,A3V,
1.2053,12.2818,6.89,0.494,,5631,F5,
1.2065,-30.8021,6.54,0.468,,5636,F5IV,
1.2085,2.4716,6.55,0.454,,5646,F8,
1.2095,45.3375,6.13,1.652,,5650,M1III,
1.2126,-37.8565,5.95,0.281,,5661,A9IV: (+F/G),
1.213,-35.2056,6.97,1.05,,5665,K0III,
1.2132,-6.7834,6.59,0.934,,5666,G5,
1.2147,32.0754,7,0.039,,5671,A0V,
1.216,47.1953,7.07,0.99,,5677,G6III,
1.2165,30.0642,6.24,0.98,,5679,G1V...,
1.2183,41.6543,7.24,0.77,,5684,G5,GJ 3080
1.2194,61.7062,6.4,0.018,,5688,B9V,
1.2212,34.0984,6.73,-0.144,,5694,B8,
1.2231,-2.5508,7.25,1.132,,5704,K0,
1.2258,29.7362,6.74,0.993,,5717,G8III-IV,
1.2289,7.5754,5.21,0.32,Revati,5737,A7IV,
1.2292,24.5837,4.67,1.047,,5742,K0III...,
1.2292,7.5783,6.44,0.492,Revati B,5743,F7V,
1.2311,-4.8474,7.15,0.428,,5754,F2,
1.2337,-13.4753,6.88,0.312,,5764,F0IV/V,
1.2337,34.4927,7.05,0.584,,5765,F5,
1.2343,60.8831,7.18,0.031,,5768,B1V SB,
1.2347,28.5296,6.33,1.684,,5772,M2S SB,
1.2355,16.1335,5.97,-0.082,,5778,B8III,
1.2362,58.8123,7.18,0.546,,5784,F5,
1.24,-7.9228,5.14,0.448,,5799,F5V,Gl 54.2A
1.2451,6.9951,6.04,1.081,,5824,G6III:,
1.2461,60.939,7.25,0.469,,5829,F7IV,
1.247,-0.9738,5.7,0.428,,5833,F5V,
1.2502,-68.8189,7.22,1,,5842,K2V,Gl 55.1A
1.253,-45.5317,4.97,0.571,,5862,F8V,Gl 55
1.2579,20.4145,6.99,0.086,,5878,A2,
1.2599,0.9125,6.71,0.129,,5886,A2,
1.2627,-68.8759,4.25,0.48,,5896,F6IV,Gl 55.3A
1.263,9.7849,7.16,0.466,,5898,F2,
1.2648,20.5022,7.24,1.013,,5906,G5,
1.2649,-23.9731,7.15,0.312,,5907,A9IV,
1.2681,25.7694,6.76,2.608,,5914,N0,
1.27,71.7438,5.87,2.042,,5926,K1V,
1.27,-42.0097,6.58,1.189,,5927,K2III,
1.2702,87.1455,6.2,1.114,,5928,K2III:,
1.2719,33.1147,6.04,1.163,,5936,K1III,
1.2735,48.0822,6.61,-0.04,,5939,B9IIIsp...,
1.2744,23.5895,6.69,0.046,,5942,A0,
1.2747,-67.431,6.91,0.378,,5943,F2IV/V,
1.2748,42.9394,6.59,0.594,,5944,G0,
1.2753,79.91,6.27,0.44,,5947,F5Vs,
1.2767,74.0268,7.07,0.056,,5950,B9,
1.2767,-2.5004,5.42,0.888,,5951,G5III-IVe,
1.2807,21.0519,7.03,0.415,,5977,F6V,
1.2831,-2.2792,6.52,0.563,,5985,F8,
1.2844,-66.3979,6.23,0.052,,5992,A0V,
1.2847,44.902,6.11,1.59,,5993,K5,
1.2879,39.4805,6.69,0.023,,6010,B9,
1.29,31.7446,6.36,1.132,,6025,K0,
1.2906,57.6321,6.86,0.047,,6027,B2IIIne+...,
1.2925,14.2427,7.18,1.31,,6036,K0IV,
1.2931,-65.2118,6.92,1.571,,6039,M4III,
1.2949,44.6319,6.78,1.57,,6047,K5,
1.2951,-7.6595,6.8,0.273,,6048,A2,
1.2959,56.6316,6.68,1.021,,6057,K1III-IV,
1.2967,49.0084,6.99,,,6060,A0+...,
1.2967,3.6145,5.13,0.071,,6061,A3V,
1.3028,47.4197,6.29,1.357,,6087,K0,
1.3039,57.8032,6.39,1.589,,6093,M5,
1.3052,67.8164,6.68,0.02,,6099,A0,
1.3092,43.2811,7.13,1.574,,6118,K5,
1.3117,72.8779,6.99,1.201,,6133,G5,
1.3123,-43.3329,6.78,1.491,,6137,K3III,
1.3128,72.4014,6.87,1.207,,6139,G5,
1.3131,37.3863,6.44,0.233,,6140,A5m,
1.3175,45.7059,7.17,1.61,,6162,K2,
1.3186,80.8618,7.22,0.385,,6167,F0,
1.3244,27.2641,4.74,0.032,,6193,A3V,
1.3248,80.8942,6.7,0.022,,6198,A0,
1.3293,-68.8982,7.07,0.508,,6221,F6V,
1.3301,-0.509,5.87,0.635,,6226,A7V...,
1.331,58.2081,6.99,0.412,,6229,B6Ib,
1.3327,-15.8143,6.7,0.584,,6234,G0V,
1.3342,-9.8838,6.65,0.405,,6237,F2,
1.3347,41.9705,6.95,0.352,,6241,F0,
1.3347,58.2316,4.95,0.683,,6242,F0Ia,
1.3383,43.5102,7.06,1.103,,6259,K0,
1.3387,77.5707,6.31,0.912,,6261,G5III...,
1.3411,-57.3385,7,0.545,,6271,F7V,
1.3411,-11.239,6.16,1.102,,6272,K1III,
1.3429,-3.247,6.26,1.013,,6283,K1III,
1.3436,54.9624,7.21,0.586,,6285,G0,
1.3446,51.5948,7.1,0.041,,6287,B9,
1.3446,-13.89,6.84,0.989,,6288,K0III,
1.3447,15.696,7.25,0.84,,6289,G8IV,
1.3515,64.6581,6.33,0.113,,6312,A2Vnn,
1.352,28.7382,5.23,1.396,,6315,K5III,
1.3542,22.3747,7.01,1.558,,6327,K5,
1.3549,-6.1595,6.78,0.966,,6331,G0,
1.3551,-49.7415,6.75,0.444,,6333,F3/F5IV,
1.3554,11.5367,6.89,0.404,,6334,F0,
1.3568,-50.9369,6.6,1.085,,6336,K0III,
1.3587,74.5803,7.19,0.307,,6347,A2,
1.3608,-33.2324,7.01,1.226,,6358,K2III,
1.3636,-66.3841,6.94,0.224,,6369,A0m...,
1.3644,50.122,6.54,1.104,,6371,K0,
1.3662,12.6042,6.97,0.953,,6376,K0,
1.3664,76.2388,6.37,0.283,,6378,F0IVn,
1.3664,76.7103,7.17,0.826,,6379,K0,Gl 56.5
1.3674,79.0252,7.22,1.26,,6385,K0,
1.3692,-37.0516,6.71,0.264,,6393,A9V,
1.3702,43.5841,6.69,-0.131,,6401,B5,
1.3716,18.6827,6.96,0.627,,6405,G3V,
1.3723,45.5288,4.87,1.077,Adhil,6411,K0III-IV,
1.3725,-61.3294,7.22,1.651,,6412,M2III,
1.3729,16.8257,7.01,1.078,,6413,K1IV,
1.3734,-43.6026,7.03,0.34,,6418,F0IV,
1.3751,-19.0812,6.35,0.493,,6427,F5/F6V,
1.3763,-0.4497,6.5,1.079,,6429,K0III:,
1.3769,1.7263,6.21,1.482,,6432,M0III,
1.3786,-36.5965,6.71,0.99,,6440,K1III,
1.3786,17.197,7.16,0.473,,6439,F5V,
1.3787,4.7382,6.87,1.043,,6441,G5,
1.3816,11.3665,6.77,1.123,,6451,K0,
1.3881,-33.548,6.8,1.524,,6477,K5III,
1.3884,36.5146,6.8,0.031,,6480,B8,
1.3893,58.143,6.36,0.457,,6486,F4V,
1.3893,-17.9339,7.05,1.626,,6487,M2III,
1.3903,20.469,5.97,1.677,,6492,K5,
1.3919,-30.9456,5.84,1.612,,6502,M0III,
1.393,-24.3528,6.66,0.24,,6507,A9V,
